g_B,lambda_det,block_gap_LB_units,gap_gt_3,ground_energy
1.8199999999999998,0.02,0.11055571953957757,False,-0.28153652226126885
1.8199999999999998,0.05,0.10959726256372979,False,-0.3185438407828127
1.8199999999999998,0.1,0.16825560545179274,False,-0.46358133104905674
1.8199999999999998,0.2,0.35583358281273264,False,-0.8421306588583772
1.8399999999999999,0.0,0.10224219091452755,False,-0.25527622443281683
1.8399999999999999,0.02,0.0988821463990677,False,-0.26161945434733014
1.8399999999999999,0.05,0.10075341076471966,False,-0.30266807340685187
1.8399999999999999,0.1,0.16637553506145492,False,-0.45581876305314223
1.8399999999999999,0.2,0.356892504464964,False,-0.8381547853906706
1.8599999999999999,0.0,0.09181532662342604,False,-0.2366342715822466
1.8599999999999999,0.02,0.08853899498065992,False,-0.24355329785772278
1.8599999999999999,0.05,0.09356008781076058,False,-0.2889378968328571
1.8599999999999999,0.1,0.16533274779104074,False,-0.4493055974026937
1.8599999999999999,0.2,0.3581200697391589,False,-0.8346799138251859
1.88,0.0,0.08253818457440407,False,-0.21961688178823577
1.88,0.02,0.07937711231687145,False,-0.2271586500347191
1.88,0.05,0.08783051291935001,False,-0.2771322392026788
1.88,0.1,0.1649206841002181,False,-0.4438041743491883
1.88,0.2,0.3594601825568449,False,-0.8316258220470598
1.9,0.0,0.07427583051615635,False,-0.20406101329180507
1.9,0.02,0.07126669768522306,False,-0.2122769999324382
1.9,0.05,0.08337946893790624,False,-0.26703351692958815
1.9,0.1,0.16497888039056263,False,-0.4391252522680161
1.9,0.2,0.36087032755322823,False,-0.828927727508294
1.92,0.0,0.06690982739337017,False,-0.18982170684571262
1.92,0.02,0.06409503383436452,False,-0.1987683852249981
1.92,0.05,0.08002525000823746,False,-0.25842955115574934
1.92,0.1,0.1653836768577796,False,-0.4351185751607409
1.92,0.2,0.3623183074636176,False,-0.8265328812899909
1.94,0.0,0.06033620776460702,False,-0.17676998550393525
1.94,0.02,0.057764434611095566,False,-0.18650926827626396
1.94,0.05,0.07759382248566923,False,-0.25111768828223674
1.94,0.1,0.16604025243040516,False,-0.4316647676589764
1.94,0.2,0.3637798012527715,False,-0.824397992530466
1.96,0.0,0.05446367841039662,False,-0.16479098757857302
1.96,0.02,0.05219037778869515,False,-0.17539060080132987
1.96,0.05,0.07592363996038345,False,-0.24490956575184225
1.96,0.1,0.16687612759272247,False,-0.4286687002661062
1.96,0.2,0.3652365257869188,False,-0.8224872657681274
1.98,0.0,0.04921203804044674,False,-0.15378231398339334
1.98,0.02,0.04729978515524459,False,-0.16531603958653152
1.98,0.05,0.07486964392802617,False,-0.23963505534533083
1.98,0.1,0.16783602102754364,False,-0.4260542123090954
1.98,0.2,0.3666748436097529,False,-0.8207708934142256
2.0,0.0,0.044510787768744176,False,-0.1436525699031039
2.0,0.02,0.04302940869340387,False,-0.15620027236915046
2.0,0.05,0.07430559546320256,False,-0.2351445303519684
2.0,0.1,0.16887785034632824,False,-0.42375998403658005
2.0,0.2,0.3680847024029406,False,-0.8192238885234506
2.02,0.0,0.04029791410026266,False,-0.13432008076208657
2.02,0.02,0.03932428344159501,False,-0.14796741458856585
2.02,0.05,0.07412459888995765,False,-0.23130931881545258
2.02,0.1,0.16996965408597786,False,-0.4217363358856114
2.02,0.2,0.36945882260782764,False,-0.8178251738837226
2.04,0.0,0.03651882505891192,False,-0.1257117633128794
2.04,0.02,0.036136216861320944,False,-0.1405494468064391
2.04,0.05,0.07423817034322791,False,-0.22802069706499087
2.04,0.1,0.1710872350748536,False,-0.4199427555827871
2.04,0.2,0.3707920719020256,False,-0.816556865639496
2.06,0.0,0.033125421433639834,False,-0.11776213397443241
2.06,0.02,0.033422303944985784,False,-0.13388468186208483
2.06,0.05,0.07457438850451176,False,-0.22518796215774103
2.06,0.1,0.17221235957695832,False,-0.4183459878177423
2.06,0.2,0.37208098125601125,False,-0.8154037056850053
2.08,0.0,0.030075286691937125,False,-0.11041243808743433
2.08,0.02,0.031143487890996982,False,-0.12791628129712182
2.08,0.05,0.07507562677296692,False,-0.2227360837964451
2.08,0.1,0.17333138085006256,False,-0.41691855526291827
2.08,0.2,0.37332336891932916,False,-0.8143526086902291
2.1,0.0,0.027330980752416703,False,-0.10360988536422741
2.1,0.02,0.02926322439984226,False,-0.12259087871004559
2.1,0.05,0.0756962301073501,False,-0.22060330016837124
2.1,0.1,0.1744341854458971,False,-0.4156376092543076
2.1,0.2,0.3745180471630165,False,-0.8133922981096008
2.12,0.0,0.024859424422898665,False,-0.09730697839648766
2.12,0.02,0.027746342982630595,False,-0.11785740296850626
2.12,0.05,0.07640035456036337,False,-0.21873887681024903
2.12,0.1,0.17551338465617602,False,-0.4144840324066564
2.12,0.2,0.3756645928250924,False,-0.8125130117600294
2.14,0.0,0.02263136283927318,False,-0.09146092258677004
2.14,0.02,0.02655821453306295,False,-0.11366621002861642
2.14,0.05,0.07716007367889624,False,-0.2171011336072334
2.14,0.1,0.1765636923224777,False,-0.4134417341637003
2.14,0.2,0.37676316729945264,False,-0.8117062621686773
2.16,0.0,0.020620897651783238,False,-0.08603310725862878
2.16,0.02,0.025664314933230903,False,-0.10996861262506936
2.16,0.05,0.07795378138909137,False,-0.21565577032218317
2.16,0.1,0.17758144462550077,False,-0.41249709461933626
2.16,0.2,0.3778143750227463,False,-0.8109646403283609
2.18,0.0,0.01880507898534263,False,-0.0809886489602977
2.18,0.02,0.02503021564317086,False,-0.10671683830080353
2.18,0.05,0.07876487894781067,False,-0.2143744788581939
2.18,0.1,0.17856422835771915,False,-0.4116385227923938
2.18,0.2,0.37881915206799294,False,-0.8102816540772362
2.2,0.0,0.017163549346439544,False,-0.07629598910604038
2.2,0.02,0.02462194976481319,False,-0.10386436383661891
2.2,0.05,0.07958071375800221,False,-0.21323381052561746
2.2,0.1,0.1795105923683342,False,-0.41085610369735454
2.2,0.2,0.37977867837623913,False,-0.809651594267285
2.22,0.0,0.01567823266536099,False,-0.07192653910135924
2.22,0.02,0.02440662708023192,False,-0.10136649922044776
2.22,0.05,0.08039173144855719,False,-0.21221426005342536
2.22,0.1,0.18041982300704015,False,-0.4101413146787021
2.22,0.2,0.38069430861390297,False,-0.8090694233677704
2.24,0.0,0.014333062557172663,False,-0.0678543669813177
2.24,0.02,0.024353133930962667,False,-0.0991810567445774
2.24,0.05,0.08119080338009996,False,-0.21129952872715035
2.24,0.1,0.18129176899568536,False,-0.4094867960769288
2.24,0.2,0.3815675177527081,False,-0.8085306822838574
2.2600000000000002,0.0,0.013113744668374075,False,-0.06405592036532429
2.2600000000000002,0.02,0.024432764960444636,False,-0.09726895206057158
2.2600000000000002,0.05,0.0819726957836378,False,-0.21047593297964706
2.2600000000000002,0.1,0.18212670461382213,False,-0.4088861647564177
2.2600000000000002,0.2,0.3823998583191922,False,-0.8080314120446431
2.28,0.0,0.012007548659463838,False,-0.06050978120766442
2.28,0.02,0.024619682180584024,False,-0.09559463254451336
2.28,0.05,0.0827336518795723,False,-0.20973192981716202
2.28,0.1,0.1829252226875279,False,-0.4083338616395596
2.28,0.2,0.3831929269153824,False,-0.8075680876922862
2.3,0.0,0.011003125967767514,False,-0.05719644841157971
2.3,0.02,0.024891158292366933,False,-0.09412628987049575
2.3,0.05,0.08347106343581856,False,-0.20905773550619644
2.3,0.1,0.18368815083817264,False,-0.40782502637335905
2.3,0.2,0.38394833811917584,False,-0.8071375622325427
2.32,0.0,0.010090350010285416,False,-0.05409814488606443
2.32,0.02,0.025227613548325534,False,-0.09283586611308903
2.32,0.05,0.08418321280248213,False,-0.2084450184718171
2.32,0.1,0.1844164859400023,False,-0.4073553937640889
2.32,0.2,0.3846677042672504,False,-0.8067370189215963
2.34,0.0,0.009260175932695444,False,-0.051198646068237194
2.34,0.02,0.025612487516784924,False,-0.09169889482287961
2.34,0.05,0.0848690703399852,False,-0.20788665119709884
2.34,0.1,0.18511134287187023,False,-0.4069212077706292
2.34,0.2,0.38535261993155906,False,-0.8063639304913135
2.36,0.0,0.008504517396804155,False,-0.04848312731878628
2.36,0.02,0.026031998734313444,False,-0.09069423018241932
2.36,0.05,0.08552813533698882,False,-0.2073765090634922
2.36,0.1,0.18577391451765174,False,-0.4065191497356701
2.36,0.2,0.3860046501423566,False,-0.8060160241745298
2.38,0.0,0.007816138232551492,False,-0.045938027931264266
2.38,0.02,0.026474842391322695,False,-0.08980371453118614
2.38,0.05,0.08616031106798393,False,-0.20690930660565213
2.38,0.1,0.18640544063733636,False,-0.4061462782208585
2.38,0.2,0.3866253216013302,False,-0.8056912515989885
2.4,0.0,0.007188557069113713,False,-0.043550929784745965
2.4,0.02,0.026931866009382292,False,-0.0890118243718332
2.4,0.05,0.08676580666436977,False,-0.20648046366608425
2.4,0.1,0.1870071837456356,False,-0.40579997834596093
2.4,0.2,0.38721611627927394,False,-0.8053877627844155
2.42,0.0,0.006615963308844938,False,-0.04131044891954422
2.42,0.02,0.027395751003466418,False,-0.08830532290401669
2.42,0.05,0.08734506006447756,False,-0.20608599552076312
2.42,0.1,0.1875804105335211,False,-0.4054779189492331
2.42,0.2,0.38777846691244444,False,-0.8051038836107932
2.44,0.0,0.006093143023097845,False,-0.039206138532528745
2.44,0.02,0.02786071720281008,False,-0.08767293630343868
2.44,0.05,0.08789867755353101,False,-0.2057224222914431
2.44,0.1,0.18812637767800416,False,-0.40517801621373994
2.44,0.2,0.388313754007136,False,-0.8048380962340018
2.46,0.0,0.0056154135350242745,False,-0.03722840207665267
2.46,0.02,0.02832225906760351,False,-0.08710506261202651
2.46,0.05,0.08842738637681907,False,-0.20538669393548412
2.46,0.1,0.18864632112726357,False,-0.40489840266294874
2.46,0.2,0.38882330403824794,False,-0.8045890220128538
